room_number,room_types,room_price,room_img
50104,커플A형2호,140000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/15c3ed40f5a941cbabaad81e2493b79f.jpg
50104,커플A형3호,140000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/72a0f36eebf348e3b127ec47edd17344.jpg
50104,커플A형3호,140000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/72a0f36eebf348e3b127ec47edd17344.jpg
50104,커플A형4호,140000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/cfe4903769e34cc5824836766fcae2ab.jpg
50104,커플특실2호,180000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/8d6ef1cb21ca486fbe3fbe78dc24a107.jpg
50104,18평형,190000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/a4a1cbbd6283446084548fc4c6f57961.jpg
50104,18평형,190000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/a4a1cbbd6283446084548fc4c6f57961.jpg
50104,18평형,190000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/a4a1cbbd6283446084548fc4c6f57961.jpg
50104,18평형,190000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/a4a1cbbd6283446084548fc4c6f57961.jpg
50104,20평형,200000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/4bc57246e820463b977681fbbc154ab9.jpg
50104,20평형,200000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/4bc57246e820463b977681fbbc154ab9.jpg
50104,28평형,280000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/1c124232b6be4f08801037a5dc11745d.jpg
50104,28평형,280000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/1c124232b6be4f08801037a5dc11745d.jpg
50104,28평형,280000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/1c124232b6be4f08801037a5dc11745d.jpg
50104,28평형,280000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/1c124232b6be4f08801037a5dc11745d.jpg
50104,32평형,320000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/48427545242d4299838978c3551c44bd.jpg
50104,32평형,320000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/48427545242d4299838978c3551c44bd.jpg
50104,32평형,320000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/48427545242d4299838978c3551c44bd.jpg
50104,50평형,500000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/9550033c4f5a4b4e9dceb098f2e73569.jpg
50104,50평형,500000,//image.goodchoice.kr/resize_370x220/affiliate/2019/01/11/03/9550033c4f5a4b4e9dceb098f2e73569.jpg
50105,글램핑7, ,//image.goodchoice.kr/resize_370x220/affiliate/2020/10/23/04/b45b22f9053e41c4b200fc4fdbaf2a4d.jpg
50106,4인용 1종 1호, ,//image.goodchoice.kr/resize_370x220/affiliate/2021/02/09/16/8d105748558848f6be79ee071cbda190.jpg
50106,4인용 1종 6호, ,//image.goodchoice.kr/resize_370x220/affiliate/2021/02/09/16/8d105748558848f6be79ee071cbda190.jpg
50108,슈페리어 더블,108000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/5a5d9f5c648db.jpg
50108,체크인 시 배정,108000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/5a5da3ad22ead.jpg
50108,디럭스 트윈,113000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/5a5da3aec82ae.jpg
50108,디럭스 더블,113000,//image.goodchoice.kr/resize_370x220/affiliate/2018/02/01/5a72b57671883.jpg
50108,쥬니어 스위트,119000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/5a5da3f255fa4.jpg
50109,스탠다드 더블,75000,//image.goodchoice.kr/resize_370x220/affiliate/2018/04/10/5acc4808d4663.jpg
50109,스탠다드 트윈,75000,//image.goodchoice.kr/resize_370x220/affiliate/2018/04/10/5acc481d263d8.jpg
50109,스카이 스탠다드 더블,80000,//image.goodchoice.kr/resize_370x220/affiliate/2018/04/10/5acc4808d4663.jpg
50109,스카이 스탠다드 트윈,80000,//image.goodchoice.kr/resize_370x220/affiliate/2018/04/10/5acc481d263d8.jpg
50109,[메리뉴이어 2021 패키지] 스탠다드 더블 (일출뷰 객실),98000,//image.goodchoice.kr/resize_370x220/affiliate/2020/12/03/5fc89c5dc2658.jpg
50109,[메리뉴이어 2021 패키지] 스탠다드 트윈 (일출뷰 객실),98000,//image.goodchoice.kr/resize_370x220/affiliate/2020/12/03/5fc89c4cd7624.jpg
50109,주니어 스위트,140000,//image.goodchoice.kr/resize_370x220/affiliate/2020/08/05/5f2a68eba4ffe.jpg
50109,[러브 앤 해피 패키지] 주니어 스위트,155000,//image.goodchoice.kr/resize_370x220/affiliate/2020/08/05/5f2a68eba4ffe.jpg
50109,스위트,170000,//image.goodchoice.kr/resize_370x220/affiliate/2020/08/05/5f2a70d9032ac.jpg
50109,[러브 앤 해피 패키지] 스위트,185000,//image.goodchoice.kr/resize_370x220/affiliate/2020/08/05/5f2a70d9032ac.jpg
50109,스탠다드 온돌,250000,//image.goodchoice.kr/resize_370x220/affiliate/2018/04/10/5acc4854edffc.jpg
50111, , , 
50112,독채(132㎡),200000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/02/05/017428df5def491e8dd88d94797227c4.jpg
50115,글램핑(랜덤배정), ,//image.goodchoice.kr/resize_370x220/affiliate/2019/03/12/05/8394a31fc72a46fa87b1ad55a0699edf.jpg
50115,글램핑(랜덤배정), ,//image.goodchoice.kr/resize_370x220/affiliate/2019/03/12/05/8394a31fc72a46fa87b1ad55a0699edf.jpg
50115,글램핑(랜덤배정), ,//image.goodchoice.kr/resize_370x220/affiliate/2019/03/12/05/8394a31fc72a46fa87b1ad55a0699edf.jpg
50115,글램핑(랜덤배정), ,//image.goodchoice.kr/resize_370x220/affiliate/2019/03/12/05/8394a31fc72a46fa87b1ad55a0699edf.jpg
50115,글램핑(랜덤배정), ,//image.goodchoice.kr/resize_370x220/affiliate/2019/03/12/05/8394a31fc72a46fa87b1ad55a0699edf.jpg
50115,글램핑(랜덤배정),139000,//image.goodchoice.kr/resize_370x220/affiliate/2019/03/12/05/8394a31fc72a46fa87b1ad55a0699edf.jpg
50115,글램핑(랜덤배정),139000,//image.goodchoice.kr/resize_370x220/affiliate/2019/03/12/05/8394a31fc72a46fa87b1ad55a0699edf.jpg
50115,글램핑(랜덤배정),139000,//image.goodchoice.kr/resize_370x220/affiliate/2019/03/12/05/8394a31fc72a46fa87b1ad55a0699edf.jpg
50115,글램핑(랜덤배정),139000,//image.goodchoice.kr/resize_370x220/affiliate/2019/03/12/05/8394a31fc72a46fa87b1ad55a0699edf.jpg
50119,2인 침대방,80000,//image.goodchoice.kr/resize_370x220/adimg_new/50119/137375/1c0f5446c8d36d449725ad97a693cdac.jpg
50119,춘 향,100000,//image.goodchoice.kr/resize_370x220/adimg_new/50119/137377/e5bee9a7a5a36730b9a46f1a28afe76b.JPG
50119,몽 룡,130000,//image.goodchoice.kr/resize_370x220/adimg_new/50119/137378/7b98277f94a56490d43e1c3af625fbf5.jpg
50120,카라반 25, ,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/16/10/975828d21b234265b58c7006babb684f.jpg
50120,카라반 26, ,//image.goodchoice.kr/resize_370x220/affiliate/2020/04/29/11/975828d21b234265b58c7006babb684f.jpg
50121,B202호(공동실내수영장), ,//image.goodchoice.kr/resize_370x220/affiliate/2020/05/11/10/004f879a87b74d9b90d7e72e199eadfa.jpg
50121,C102호(실내수영장), ,//image.goodchoice.kr/resize_370x220/affiliate/2020/05/13/04/1f4e9cec1b8549588aab29b55f825d43.jpg
50124, , , 
50125,솔롱고글램핑1,129000,//image.goodchoice.kr/resize_370x220/affiliate/2020/07/24/04/909580e174a04c10944c089925354b80.jpg
50125,솔롱고글램핑2,129000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/04/12/909580e174a04c10944c089925354b80.jpg
50125,솔롱고글램핑3,129000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/04/12/909580e174a04c10944c089925354b80.jpg
50125,솔롱고글램핑4,129000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/04/12/909580e174a04c10944c089925354b80.jpg
50125,솔롱고글램핑5,129000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/04/12/909580e174a04c10944c089925354b80.jpg
50125,글램핑펜션1,129000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/04/12/14fa88c3e8734719931f3021676a9c30.jpg
50125,글램핑펜션2,129000,//image.goodchoice.kr/resize_370x220/affiliate/2019/02/20/01/aba834807f5b4a50ad5d966c3dd0494f.jpg
