roomID,room_name,city,location,latitude,longitude,accomodation_type,min_price,rating,general_review,total_review_num,owner_comment,image_link,img_link_2,img_link_3,img_link_4,img_link_5
50333,미디호텔 영도점,부산,부산 영도구 대교동1가 40,35.093810299999994,129.03732340000002,호텔,79000,9.3,추천해요,331,"RCD, H-PHLE 공법으로 설계되어 일반 콘크리트보다 내진설계가 우수한 건물입니다 고객의 안전과 아울러, 바다를 볼 수 있는 탁 트인 전망, 여유로운 공간이 있습니다",//image.goodchoice.kr/resize_490x348/affiliate/2020/10/16/5f891d4787133.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/16/5f891d4787133.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/06/03/5cf4e346ce818.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/16/5f891cd0ef923.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/06/03/5cf4e3743caed.jpg
50337,베르데펜션,경남,경남 거제시 일운면 망치리 457,34.80955529999999,128.6654256,펜션,37200,9.9,최고예요,11,"애견 동반가능 펜션입니다 망치 몽돌 도보 5분거리, 외도/해금강/바람의 언덕/학동몽돌해변 차로 5분거리 입니다 1일 1회 알코올 소독 청정 객실입니다",//image.goodchoice.kr/resize_490x348/affiliate/2021/01/13/18/92c41d96e8464fe8aaf42c49b13153e7.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2021/01/13/18/92c41d96e8464fe8aaf42c49b13153e7.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2021/01/13/18/a40909521112429c81a459fcb06f8ae3.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2021/01/13/18/4b0a781798f94116b6d624bf66fb1a61.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2021/01/13/18/be0e17a471694832b4ef1e9f54a1a829.jpg
50339,영광 CC 무인텔,전남,전남 영광군 백수읍 구수리 466-7,35.3623134,126.4163409,기타,30000,9.2,추천해요,74,"백수해안도로가 훤히 보이는 호텔식 무인텔! 22개의 객실이 모두 다른 테마무인텔! 세심한 부분까지 고객의 입장에서 생각하고 편안하고 아름다운 쉼터를 제공하는 C&C무인텔은 고객을 최우선으로 생각하는 고객 중심의 마인드로 모든 고객을 귀빈으로 모시겠습니다. -모든 객실요금은 2인 기준이며, 추가인원 발생 시 1인당 10,000원의 추가요금이 있습니다.",//image.goodchoice.kr/resize_490x348/adimg_new/50339/139603/801cc967517eaaa5f942c4b54c9dde97.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50339/139603/801cc967517eaaa5f942c4b54c9dde97.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50339/139603/a1af2f56dd330e96c04d9ca5b9842e56.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50339/139610/2d1656b53d37c82e0b06f34e0828687a.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50339/139611/f4a901fd2c454f4da58ba1cf357282a6.jpg
50341,B612,경기,경기 양평군 서종면 수능리 160-1,37.59175379999999,127.388477,기타,280000,10.0,최고예요,1,수상레져 40퍼 할인권 제공합니다,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/14/11/1602550660778VByGfXmf6wyJvozPnWO.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/14/11/1602550660778VByGfXmf6wyJvozPnWO.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/05/09/98dd17a913c0432d94c1d12348e39e45.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/14/11/1602551023120i9ciB5oeaHJpL7K4ifI.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/14/11/1602551023099t3r8vEAMEyeIQZatZbp.jpg
50344,양양 플로라펜션,강원,강원 양양군 현남면 남애리 2-53,37.9434029,128.7850731,펜션,49000,9.4,추천해요,118,펜션 내 엘리베이터를 보유하고 있습니다 오션뷰 바베큐장을 이용할 수 있습니다,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/17/fcea2a21d5cb4e3ea7e97dc06062d848.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/17/fcea2a21d5cb4e3ea7e97dc06062d848.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/17/a53fe9f47d554d6e90e3e3d0806058d1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/17/1a212c7fb76f406cab1276fa698fec51.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/17/91f9e493d3504d32bd608f06adb82f75.jpg
50346,정왕 허니문,경기,경기 시흥시 정왕동 1738-3,37.3444278,126.7376144,기타,15000,9.4,추천해요,417,새롭게 리모델링한 허니문모텔을 만나보세요!,//image.goodchoice.kr/resize_490x348/adimg_new/50346/148341/614bddd054bdb12df930112d973808bc.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50346/148341/614bddd054bdb12df930112d973808bc.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50346/148341/6ef66281d544d44af46ab1e043a0e470.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50346/148342/b297845d8e99744f669a1b8b19d2b754.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50346/281427/59783418f370a327e11e6570a8d66fa1.jpg
50347,용인 아트인,경기,경기 용인시 처인구 김량장동 129-2,37.235962,127.2079659,기타,18500,9.0,추천해요,218,"$.전객실 넷플릭스,유튜브등 무제한시청 OTT $.전객실 2게임PC 설치 $.전객실 소독제 분사, 소독등 예방 활동 강화 $.전 객실 엘지 퓨리 온 냉 직수 정수기 설치 $.전객실 전자렌지,고대기,WIFI , 객실 가운등 $. 원두커피,복사,인쇄,팩스등 편의시설사용. $.VIP실,트윈실등 2인 풀 월풀스파 사용가능",//image.goodchoice.kr/resize_490x348/adimg_new/50347/140015/0e64b17a0d53ce2338668a832ab33689.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50347/140015/0e64b17a0d53ce2338668a832ab33689.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50347/140015/236676538cb7983e88e39b6179c7e112.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50347/140016/a7e55307a0e58c47f8f579c32f2ca0ce.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50347/140017/e35ca67ba3efc2ed7bea44dde2c3d388.jpg
50349,인제 인제호텔,강원,강원 인제군 인제읍 상동리 348-3,38.0689725,128.1713408,호텔,50000,8.7,만족해요,61, ,//image.goodchoice.kr/resize_490x348/adimg_new/50349/140195/480bf45b6878800013f7037ded927d15.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50349/140195/480bf45b6878800013f7037ded927d15.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50349/140196/900fe6505de3b371e93345383c7629b8.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50349/146826/a665a659914966f8ef402866d4ecd033.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50349/140194/38a307d168bd64843604e473d6731ff7.jpg
50352,동암 필,인천,인천 부평구 십정동 409-20,37.46905539999999,126.7023788,기타,20000,9.0,추천해요,277, ,//image.goodchoice.kr/resize_490x348/adimg_new/50352/139633/8fa3544402ecb92e4669dd8f073d89c3.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50352/139633/8fa3544402ecb92e4669dd8f073d89c3.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50352/139633/b37523c8d43f31cc31160f22b2a4af72.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50352/139634/f84fbb100415d6c1d785313ed11f8edc.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50352/139635/6114d12111926e82ad6c1915338cd997.jpg
50355,목동 메종,서울,서울 양천구 신정동 953-1,37.5250162,126.8578184,기타,20000,9.1,추천해요,103,목동 메종 모텔 리모델링 그랜드오픈신정역3번출구 바로 앞 최신영화 무비넷 써비스 ( 매월최신영화 업데이트) 올레 KT 로 TV시청. CJ헬로비전 TV시청. 전객실 WI FI 초고속인터넷 PC 객실 이용시 입실시간이랑 퇴실시간 반드시 지켜주세요. 감사합니다.,//image.goodchoice.kr/resize_490x348/adimg_new/50355/140887/4b5b135660ce8eecf8d685477a728ce0.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50355/140887/4b5b135660ce8eecf8d685477a728ce0.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50355/140887/a80d2d547cbfe9f59e6a10233355e177.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50355/195169/b3f89045798d43c3523e613d65965ba2.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50355/8048/ad9fc24f75c36bedb6ce6990ae559daa.jpg
