roomID,room_name,location,latitude,longitude,link,image_link
50498,공주 탑,충남 공주시 신관동 605-15,36.4696054,127.1327655,https://www.goodchoice.kr/product/detail?ano=50498,//image.goodchoice.kr/resize_490x348/adimg_new/50498/226477/f66f9f16820918e842a91a559b2661cf.jpg
50499,공주 수,충남 공주시 신관동 597-14,36.4692691,127.1303926,https://www.goodchoice.kr/product/detail?ano=50499,//image.goodchoice.kr/resize_490x348/adimg_new/50499/142847/2b3208ba799a709d8497345df177147f.JPG
50500,의정부 JBIS호텔,경기 의정부시 신곡동 764-6,37.7495625,127.0720811,https://www.goodchoice.kr/product/detail?ano=50500,//image.goodchoice.kr/resize_490x348/adimg_new/50500/342177/715202d0b37a3166d237bc5808af3cfd.jpg
50502,영등포 보보스,서울 영등포구 영등포동2가 28-97,37.5220918,126.9105859,https://www.goodchoice.kr/product/detail?ano=50502,//image.goodchoice.kr/resize_490x348/adimg_new/50502/140907/68657ae2f2333233a41b51e5b077a7a7.jpg
50505,합정 서원,서울 마포구 합정동 383-16,37.5490591,126.9119816,https://www.goodchoice.kr/product/detail?ano=50505,//image.goodchoice.kr/resize_490x348/adimg_new/50505/140729/b99d6e6f6802b3d4cbdcd821a0836dbd.jpg
50508,예산 라노스,충남 예산군 대흥면 동서리 202-2,36.6098065,126.7919176,https://www.goodchoice.kr/product/detail?ano=50508,//image.goodchoice.kr/resize_490x348/adimg_new/50508/142608/40f29c691e387294b36bed2bb5920fff.jpg
50510,수안보 궁전,충북 충주시 수안보면 온천리 148-5,36.8445556,127.991604,https://www.goodchoice.kr/product/detail?ano=50510,//image.goodchoice.kr/resize_490x348/adimg_new/50510/8137/49d4f070fac099a140754a1df64ebd81.jpg
50512,충주 피아노,충북 충주시 봉방동 343-7,36.9736052,127.9139179,https://www.goodchoice.kr/product/detail?ano=50512,//image.goodchoice.kr/resize_490x348/adimg_new/50512/142140/2442d54c224de28c1689849f111ba224.jpg
50513,충주 K,충북 충주시 봉방동 194-2,36.974583,127.9139483,https://www.goodchoice.kr/product/detail?ano=50513,//image.goodchoice.kr/resize_490x348/adimg_new/50513/141915/2eac2d67358fde81c8a731792319007c.jpg
50514,음성 백마령,충북 음성군 원남면 문암리 709-1,36.859907,127.628683,https://www.goodchoice.kr/product/detail?ano=50514,//image.goodchoice.kr/resize_490x348/adimg_new/50514/142122/c46596ecb8ce1abde9f3617fdbf99be9.jpg
50515,청양 파라다이스,충남 청양군 대치면 탄정리 410-3,36.4507868,126.8208859,https://www.goodchoice.kr/product/detail?ano=50515,//image.goodchoice.kr/resize_490x348/adimg_new/50515/145215/0721d58542907e5861008346ffa41dea.jpg
50518,남양주 호텔 그램,경기 남양주시 진접읍 금곡리 1081-5,37.7127491,127.1872371,https://www.goodchoice.kr/product/detail?ano=50518,//image.goodchoice.kr/resize_490x348/adimg_new/50518/142917/c23a6ee4d3a4e44e1063e5db20d9c8c6.jpg
50520,시흥 서브웨이호텔,경기 시흥시 신천동 707-15,37.4413722,126.7847634,https://www.goodchoice.kr/product/detail?ano=50520,//image.goodchoice.kr/resize_490x348/adimg_new/50520/141654/c7d62994e991ea902084394278a2e662.jpg
