roomID,room_name,city,location,latitude,longitude,accomodation_type,min_price,rating,general_review,total_review_num,image_link,img_link_2,img_link_3,img_link_4,img_link_5
50167,삼척 베네치아펜션,강원,강원 삼척시 오분동 1-10,37.431357899999995,129.1901923,펜션,84000,8.5,만족해요,2,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/ce8a10adaba543b4a2c55aaf30d4d01b.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/ce8a10adaba543b4a2c55aaf30d4d01b.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/ee16503218ef4e3ebb81a899c996d9d9.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/a979d6e4c8e842fda39664d5e2a36c6e.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/13/16/a778991c6fa64aa7baca8107757864d5.jpg
50169,가평 블루엘 스파펜션,경기,경기 가평군 설악면 송산리 179-3,37.6849539,127.5322461,펜션,239000,9.8,최고예요,75,//image.goodchoice.kr/resize_490x348/affiliate/2021/02/04/601ba1a56e530.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2021/02/04/601ba1a56e530.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/09/09/5f58696ec123f.png,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/24/5a6841058c9a7.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/24/5a6841068f556.jpg
50170,아침풍경펜션,경기,경기 가평군 상면 임초리 370-2,37.7684342,127.36973710000001,펜션,70000,8.8,만족해요,22,//image.goodchoice.kr/resize_490x348/affiliate/2018/04/17/10/morning_BHCiXJYU_01C3DFB0A1_GPN_6595_r_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/04/17/10/morning_BHCiXJYU_01C3DFB0A1_GPN_6595_r_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/04/17/11/morning_V0n9hpUY_B0A1BFC2_28429.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/04/17/10/morning_lFgDPp6C_B0A1BFC2_28129.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/04/17/11/morning_mliVTJfz_C7D1BFEF_28529.jpg
50171,호수위에하얀집,경기,경기 가평군 청평면 상천리 1507-1,37.76875010000001,127.4774379,기타,50000,8.5,만족해요,31,//image.goodchoice.kr/resize_490x348/affiliate/2019/02/22/10/juraki_rMFEWibp_BFDCBACE_28129_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/02/22/10/juraki_rMFEWibp_BFDCBACE_28129_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/02/22/10/juraki_1WAMCKwa_C8F7BEC6BDC5BDBA_28429_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/02/22/10/juraki_rmlYCDOV_C8F7BEC6BDC5BDBA_28229_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/02/22/10/juraki_0kbS4FC1_BEC6B5B5B4CFBDBA_28129_1.jpg
50172,경주 메종 미니호텔,경북,경상북도 경주시 노서동 133-21 　,35.840561799999996,129.2048554,호텔,49000,9.8,최고예요,122,//image.goodchoice.kr/resize_490x348/adimg_new/50172/0/513a5654a492cd60df59e0b0ded4c1e6.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50172/0/513a5654a492cd60df59e0b0ded4c1e6.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50172/0/3c44f0438d08bfc1812bf6265ce16a97.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50172/0/d95b9195593e0ce14338902c06ef6eb4.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50172/0/80afe4a7d369991f36e4ed7196d26627.jpg
50175,119 14 프라이빗 스파&빌라,강원,강원 홍천군 서면 팔봉리 119-14,37.6920817,127.715878,기타, ,9.6,최고예요,32,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/17/12/1a6725598a2f4e44aad8b50560dc3eb5.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/17/12/1a6725598a2f4e44aad8b50560dc3eb5.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/08/30/10/d64a173bc1d64abbbc2484b668409eff.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/08/30/10/869448b15fa74e5b8d021f852917f34e.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2019/08/30/10/6023adaa30c14a2bbcb79ac6dd13bdd9.jpg
50180,홍천 알투스펜션,강원,강원 홍천군 서면 팔봉리 768,37.676111299999995,127.69382240000002,펜션,50000,8.2,만족해요,17,//image.goodchoice.kr/resize_490x348/affiliate/2020/12/01/09/1606777918369eQepLlCRNPDG2HBIHCq.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/12/01/09/1606777918369eQepLlCRNPDG2HBIHCq.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/12/01/09/2297aebb145f401cb8fe1a45592ca5ec.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/12/01/09/24130045592d4dbca83c04a36156c125.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/12/01/09/1606706188816nG0ObyMzxW3W9CgcJJc.jpg
50183,더준펜션,제주,제주특별자치도 제주시 회천동 1784-5,33.484494,126.61076940000001,펜션,55000,8.8,만족해요,8,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/22/5a659b5a1a7df.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/22/5a659b5a1a7df.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/22/5a659bc55780d.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/22/5a659bd69ba3b.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/22/5a65a3959b79e.jpg
50184,제주 메이저호텔1,제주,제주도 제주시 연동 278-8,33.4830253,126.49110690000002,호텔,50000,8.7,만족해요,126,//image.goodchoice.kr/resize_490x348/adimg_new/50184/203479/e2aa8ee5af009b36ed4701a5d5d1d105.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50184/203479/e2aa8ee5af009b36ed4701a5d5d1d105.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50184/203479/3b7fde6300e0afbfbb6c1d839bb3d742.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50184/203480/01c9e590b6008bcade321a04b3e1dfa0.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50184/203481/e27632724a391489fe9d3145416e63d0.jpg
50186,아이캔펜션,경기,경기 남양주시 수동면 송천리 2-11,37.691780200000004,127.37118799999999,펜션, , , ,,//image.goodchoice.kr/resize_490x348/adimg_new/50186/0/1891148722_8ipqLJV3_01_NIN_5826_r_r.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50186/0/1891148722_8ipqLJV3_01_NIN_5826_r_r.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/07/09/01/mtmaeul_ApOEFGvZ_04_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/07/09/01/mtmaeul_vHQbpPdn_05_1.jpg,//image.goodchoice.kr/resize_490x348/affiliate/2020/07/09/01/mtmaeul_90PUlZd7_2.jpg
50187,작전 써클호텔,인천,인천 계양구 작전동 906-4,37.533227600000004,126.7356357,호텔,20000,9.5,추천해요,1741,//image.goodchoice.kr/resize_490x348/adimg_new/50187/194127/fb5148ca3e9e50144c0f8719843f92fd.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50187/194127/fb5148ca3e9e50144c0f8719843f92fd.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50187/194127/a4eb3a18cc1a3fd20334b2489baca5d3.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50187/153671/79ba71a9c277825e903272d13cfebd74.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50187/138731/94e1e220359356a067159403a1d45738.jpg
50188,경포대 아테네,강원,강원 강릉시 안현동 865-3,37.80309370000001,128.9032771,기타,35000,9.0,추천해요,675,//image.goodchoice.kr/resize_490x348/adimg_new/50188/138814/04b0e90d9c17ef6f564a0041cf6165fe.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50188/138814/04b0e90d9c17ef6f564a0041cf6165fe.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50188/138814/45d5c667e393438ace54d6b175c770a4.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50188/138815/0dead38ad6664b8d10a55606d46944c6.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50188/330896/823806bf1396d7fe38993568674ded5e.jpg
50189,강릉 피크닉,강원,강원 강릉시 홍제동 998-6,37.75380210000001,128.8810283,기타,18000,9.2,추천해요,642,//image.goodchoice.kr/resize_490x348/adimg_new/50189/139019/871f610d368d093a1ac0b07ccaff973f.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50189/139019/871f610d368d093a1ac0b07ccaff973f.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50189/291543/32fae48f3f205ecc1eca153ee9535c46.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50189/225396/06c8a457abc371cf8fac6f706b6b0791.jpg,//image.goodchoice.kr/resize_490x348/adimg_new/50189/139018/c5b95e3651f4a47f90cdcd18dc4c0d2a.jpg
